"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs","7 segs","8 segs","9 segs","10 segs"
"k=55",0.67906976744186,0.693023255813954,0.674418604651163,0.697674418604651,0.697674418604651,0.702325581395349,0.706976744186047,0.706976744186047,0.702325581395349,0.706976744186047
"k=56",0.67906976744186,0.697674418604651,0.683720930232558,0.697674418604651,0.697674418604651,0.711627906976744,0.711627906976744,0.706976744186047,0.706976744186047,0.706976744186047
"k=57",0.674418604651163,0.693023255813954,0.67906976744186,0.693023255813954,0.697674418604651,0.711627906976744,0.711627906976744,0.706976744186047,0.702325581395349,0.711627906976744
"k=58",0.67906976744186,0.697674418604651,0.67906976744186,0.706976744186047,0.702325581395349,0.711627906976744,0.711627906976744,0.706976744186047,0.702325581395349,0.711627906976744
"k=59",0.67906976744186,0.688372093023256,0.683720930232558,0.706976744186047,0.697674418604651,0.706976744186047,0.706976744186047,0.702325581395349,0.702325581395349,0.711627906976744
"k=60",0.688372093023256,0.693023255813954,0.67906976744186,0.706976744186047,0.702325581395349,0.716279069767442,0.711627906976744,0.706976744186047,0.702325581395349,0.706976744186047
"k=61",0.674418604651163,0.688372093023256,0.683720930232558,0.702325581395349,0.702325581395349,0.697674418604651,0.706976744186047,0.706976744186047,0.702325581395349,0.706976744186047
"k=62",0.688372093023256,0.688372093023256,0.683720930232558,0.702325581395349,0.702325581395349,0.711627906976744,0.711627906976744,0.711627906976744,0.706976744186047,0.706976744186047
"k=63",0.66046511627907,0.688372093023256,0.683720930232558,0.693023255813954,0.702325581395349,0.702325581395349,0.706976744186047,0.706976744186047,0.706976744186047,0.711627906976744
"k=64",0.674418604651163,0.67906976744186,0.697674418604651,0.697674418604651,0.697674418604651,0.711627906976744,0.711627906976744,0.706976744186047,0.706976744186047,0.706976744186047
"k=65",0.646511627906977,0.688372093023256,0.697674418604651,0.702325581395349,0.697674418604651,0.711627906976744,0.711627906976744,0.706976744186047,0.711627906976744,0.706976744186047
"k=66",0.641860465116279,0.693023255813954,0.693023255813954,0.702325581395349,0.697674418604651,0.711627906976744,0.706976744186047,0.716279069767442,0.711627906976744,0.711627906976744
"k=67",0.66046511627907,0.693023255813954,0.693023255813954,0.697674418604651,0.688372093023256,0.711627906976744,0.702325581395349,0.706976744186047,0.716279069767442,0.706976744186047
"k=68",0.669767441860465,0.697674418604651,0.693023255813954,0.697674418604651,0.688372093023256,0.711627906976744,0.706976744186047,0.702325581395349,0.706976744186047,0.706976744186047
