"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs"
"k=70",0.925581395348837,0.948837209302326,0.934883720930233,0.953488372093023,0.930232558139535,0.953488372093023
"k=71",0.92093023255814,0.944186046511628,0.930232558139535,0.953488372093023,0.925581395348837,0.953488372093023
"k=72",0.925581395348837,0.93953488372093,0.930232558139535,0.953488372093023,0.925581395348837,0.948837209302326
"k=73",0.925581395348837,0.944186046511628,0.930232558139535,0.953488372093023,0.92093023255814,0.944186046511628
"k=74",0.925581395348837,0.944186046511628,0.930232558139535,0.953488372093023,0.925581395348837,0.948837209302326
"k=75",0.925581395348837,0.944186046511628,0.930232558139535,0.948837209302326,0.925581395348837,0.948837209302326
"k=76",0.92093023255814,0.93953488372093,0.930232558139535,0.948837209302326,0.925581395348837,0.948837209302326
"k=77",0.916279069767442,0.944186046511628,0.925581395348837,0.944186046511628,0.925581395348837,0.948837209302326
"k=78",0.916279069767442,0.93953488372093,0.92093023255814,0.944186046511628,0.925581395348837,0.948837209302326
"k=79",0.916279069767442,0.93953488372093,0.92093023255814,0.944186046511628,0.925581395348837,0.948837209302326
"k=80",0.916279069767442,0.93953488372093,0.92093023255814,0.944186046511628,0.925581395348837,0.948837209302326
"k=81",0.916279069767442,0.93953488372093,0.92093023255814,0.93953488372093,0.925581395348837,0.948837209302326
"k=82",0.911627906976744,0.93953488372093,0.92093023255814,0.93953488372093,0.92093023255814,0.948837209302326
"k=83",0.911627906976744,0.93953488372093,0.92093023255814,0.93953488372093,0.92093023255814,0.948837209302326
"k=84",0.906976744186046,0.93953488372093,0.916279069767442,0.93953488372093,0.92093023255814,0.948837209302326
"k=85",0.893023255813953,0.93953488372093,0.911627906976744,0.934883720930233,0.92093023255814,0.948837209302326
"k=86",0.902325581395349,0.93953488372093,0.916279069767442,0.934883720930233,0.92093023255814,0.948837209302326
"k=87",0.883720930232558,0.93953488372093,0.906976744186046,0.934883720930233,0.92093023255814,0.944186046511628
"k=88",0.888372093023256,0.93953488372093,0.906976744186046,0.934883720930233,0.911627906976744,0.944186046511628
"k=89",0.883720930232558,0.93953488372093,0.906976744186046,0.934883720930233,0.911627906976744,0.944186046511628
"k=90",0.888372093023256,0.93953488372093,0.906976744186046,0.930232558139535,0.911627906976744,0.944186046511628
"k=91",0.883720930232558,0.93953488372093,0.893023255813953,0.930232558139535,0.911627906976744,0.930232558139535
"k=92",0.883720930232558,0.93953488372093,0.893023255813953,0.930232558139535,0.906976744186046,0.930232558139535
"k=93",0.87906976744186,0.93953488372093,0.893023255813953,0.930232558139535,0.902325581395349,0.934883720930233
"k=94",0.883720930232558,0.93953488372093,0.893023255813953,0.930232558139535,0.902325581395349,0.92093023255814
"k=95",0.87906976744186,0.934883720930233,0.893023255813953,0.930232558139535,0.902325581395349,0.92093023255814
"k=96",0.87906976744186,0.930232558139535,0.893023255813953,0.925581395348837,0.902325581395349,0.92093023255814
"k=97",0.874418604651163,0.92093023255814,0.893023255813953,0.930232558139535,0.902325581395349,0.92093023255814
"k=98",0.869767441860465,0.92093023255814,0.893023255813953,0.925581395348837,0.902325581395349,0.916279069767442
"k=99",0.869767441860465,0.916279069767442,0.893023255813953,0.92093023255814,0.906976744186046,0.911627906976744
"k=100",0.86046511627907,0.916279069767442,0.893023255813953,0.92093023255814,0.906976744186046,0.911627906976744
